12-19 10:54:49.941 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:54:50.107 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213451.00, 213625.00, 211963.00
12-19 10:54:50.108 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.138 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.139 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213553.00, 213702.00, 212529.00
12-19 10:54:50.140 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.174 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.175 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213803.00, 213933.00, 212238.00
12-19 10:54:50.176 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.206 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.207 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213779.00, 213998.00, 212174.00
12-19 10:54:50.208 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.242 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.243 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213873.00, 214022.00, 212844.00
12-19 10:54:50.244 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.274 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.275 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213884.00, 214108.00, 212338.00
12-19 10:54:50.276 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.306 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.307 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213878.00, 214114.00, 212571.00
12-19 10:54:50.308 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.342 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.343 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213931.00, 214077.00, 212871.00
12-19 10:54:50.344 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.374 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.375 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213877.00, 214119.00, 212525.00
12-19 10:54:50.376 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.406 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.407 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213912.00, 214202.00, 212037.00
12-19 10:54:50.408 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.442 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.443 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213909.00, 213957.00, 212819.00
12-19 10:54:50.444 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.474 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.476 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213803.00, 213898.00, 212657.00
12-19 10:54:50.477 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.510 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.511 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213736.00, 213914.00, 212421.00
12-19 10:54:50.512 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.542 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.543 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213719.00, 213929.00, 212393.00
12-19 10:54:50.544 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.574 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.575 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213744.00, 213957.00, 212336.00
12-19 10:54:50.576 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.610 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.611 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213711.00, 213852.00, 211986.00
12-19 10:54:50.612 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.642 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.643 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213722.00, 213884.00, 212119.00
12-19 10:54:50.644 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.678 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.679 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213560.00, 213806.00, 211619.00
12-19 10:54:50.680 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.711 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.714 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213459.00, 213673.00, 212072.00
12-19 10:54:50.715 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.742 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.743 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213480.00, 213660.00, 211985.00
12-19 10:54:50.744 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.778 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.779 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213440.00, 213531.00, 211913.00
12-19 10:54:50.780 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.810 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.811 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213304.00, 213609.00, 210908.00
12-19 10:54:50.812 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.846 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.847 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213327.00, 213558.00, 211339.00
12-19 10:54:50.848 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.878 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.879 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213212.00, 213376.00, 211182.00
12-19 10:54:50.880 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.910 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.911 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213243.00, 213409.00, 210873.00
12-19 10:54:50.912 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.946 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.947 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212989.00, 213334.00, 210721.00
12-19 10:54:50.948 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.978 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.979 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213021.00, 213312.00, 210672.00
12-19 10:54:50.980 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.010 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.011 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213080.00, 213447.00, 210575.00
12-19 10:54:51.012 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.046 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.047 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213026.00, 213339.00, 210548.00
12-19 10:54:51.048 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.078 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.079 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212936.00, 213157.00, 211230.00
12-19 10:54:51.080 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.114 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.115 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212979.00, 213284.00, 210722.00
12-19 10:54:51.115 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.146 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.147 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212931.00, 213255.00, 210576.00
12-19 10:54:51.148 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.178 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.179 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212999.00, 213248.00, 210535.00
12-19 10:54:51.180 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.215 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.216 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213040.00, 213304.00, 210342.00
12-19 10:54:51.217 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.246 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.247 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212977.00, 213314.00, 210368.00
12-19 10:54:51.249 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.282 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.283 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212942.00, 213201.00, 210679.00
12-19 10:54:51.284 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.314 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.316 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213046.00, 213256.00, 210325.00
12-19 10:54:51.318 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.347 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.349 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212977.00, 213356.00, 210393.00
12-19 10:54:51.351 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.382 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.383 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213023.00, 213361.00, 210437.00
12-19 10:54:51.384 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.414 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.415 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213034.00, 213321.00, 210479.00
12-19 10:54:51.417 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.450 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.451 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212982.00, 213326.00, 210531.00
12-19 10:54:51.452 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.482 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.484 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213008.00, 213394.00, 210368.00
12-19 10:54:51.485 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.514 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.515 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213111.00, 213277.00, 211031.00
12-19 10:54:51.516 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.550 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.551 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213162.00, 213131.00, 211408.00
12-19 10:54:51.552 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:54:51.582 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.584 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213121.00, 213407.00, 210599.00
12-19 10:54:51.585 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.614 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.615 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213091.00, 213374.00, 210811.00
12-19 10:54:51.616 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.650 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.651 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213099.00, 213341.00, 211009.00
12-19 10:54:51.652 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.682 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.684 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213178.00, 213383.00, 210872.00
12-19 10:54:51.685 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.718 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.719 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213020.00, 213445.00, 210494.00
12-19 10:54:51.720 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.750 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.751 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213196.00, 213372.00, 210380.00
12-19 10:54:51.752 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.782 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.783 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213080.00, 213403.00, 210599.00
12-19 10:54:51.784 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.818 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.819 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213049.00, 213377.00, 211087.00
12-19 10:54:51.820 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.850 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.851 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213097.00, 213361.00, 210684.00
12-19 10:54:51.851 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.886 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.887 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212997.00, 213340.00, 210788.00
12-19 10:54:51.888 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.918 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.919 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212985.00, 213236.00, 210632.00
12-19 10:54:51.920 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.950 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.951 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212930.00, 213160.00, 210635.00
12-19 10:54:51.951 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:51.986 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:51.987 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 212800.00, 213143.00, 210393.00
12-19 10:54:51.990 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:52.018 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
